Cluster,avg_std_amt,line_srvc_cnt,creds_CRNA,creds_D.C.,creds_D.O.,creds_DPT,creds_FNP,creds_M.D.,creds_NP,creds_O.D.,creds_Other,creds_PA,creds_PA-C,creds_PT,gender_F,gender_M,gender_Other,entity_I,entity_O,type_Anesthesiology,type_Centralized Flu,type_Certified Registered Nurse Anesthetist (CRNA),type_Chiropractic,type_Emergency Medicine,type_Family Practice,type_General Surgery,type_Hospitalist,type_Internal Medicine,type_Licensed Clinical Social Worker,type_Mass Immunizer Roster Biller,type_Neurology,type_Nurse Practitioner,type_Obstetrics & Gynecology,type_Optometry,type_Other,type_Physical Therapist in Private Practice,type_Physician Assistant,type_Podiatry,type_Psychiatry,"type_Psychologist, Clinical",facility_F,facility_O
0,92.88717748922149,536.8692594956156,0.0,0.0,0.16346403838426812,0.0,0.0,0.7490368479519723,0.0,0.0,0.08749911366375948,0.0,0.0,0.0,0.2861802453378714,0.7138197546621287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9169680209884422,0.08303197901155783
1,51.72588896687477,422.81919650907,3.606332720256771e-05,6.010554533761285e-05,1.202110906752257e-05,0.0,0.0,0.00038467549016072224,0.0,0.0,0.9995071345282316,0.0,0.0,0.0,0.8923750105184705,0.10762498948152957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416880041352615,0.6583119958647384
2,63.290040174468274,789.2843730733036,0.0,0.0,0.05731414479021319,0.0,0.0,0.8329006717071746,0.0,0.0,0.1097851835026122,0.0,0.0,0.0,0.31704903137878443,0.6829509686212155,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4337216471428108e-05,0.0,3.2449621961904146e-05,0.9998377518901905,0.0,0.00010546127137618847,0.0,0.0,0.0,0.5004137326800143,0.49958626731998573
3,44.236319902158044,416.9671959846191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851213713346444,0.0,0.0,0.0,0.0,0.14875693445654406,2.9352197011946344e-05,0.0,0.0,0.0,0.0,0.06005459508644222,0.9399454049135578
4,27.134850808403826,526.7146077195509,0.0,0.9282970166276487,0.0014706765111951498,0.0,0.0,6.002761270184285e-05,0.0,0.0,0.07017227924845429,0.0,0.0,0.0,0.20007203313524222,0.7999279668647578,0.0,1.0,0.0,0.0,0.0,0.0,0.9996998619364907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021009664445644996,0.0,0.0,0.0,6.002761270184285e-05,3.0013806350921424e-05,0.0,0.0,0.0,0.0011105108349840926,0.9988894891650159
5,38.60363710597643,509.75655231195395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010654165778819518,0.9998934583422118
6,39.90936716678533,788.8381714083345,0.0,1.4756227127847951e-05,0.0006345177664974619,0.0,0.0,0.0005459804037303742,0.0,0.0,0.9988047456026443,0.0,0.0,0.0,0.652180970369496,0.3478190296305041,0.0,1.0,0.0,0.0,0.0,0.001239523078739228,0.010580214850666982,0.0,0.0,0.0,0.0,0.0,0.0,0.00026561208830126314,0.0,5.9024908511391805e-05,0.0,0.15194487073545035,0.2646086648565695,0.3092905205996931,0.2620115688820682,0.0,0.0,0.0,0.11557077086530516,0.8844292291346948
7,44.89703865003075,1105.5206559597523,0.0,0.0,9.674922600619196e-05,0.0,0.0,0.0033862229102167183,0.0,0.0,0.9961300309597523,0.0003869969040247678,0.0,0.0,0.274187306501548,0.725812693498452,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13506191950464397,0.864938080495356
8,21.976328410891117,1392.1361242236028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6045548654244306,0.39544513457556935,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002650103519668737,0.9973498964803312,0.0,0.0,0.0,0.0,0.0,1.0
9,88.04452261102799,125.97737355515468,0.82548272866974,3.340682835571591e-05,0.0,0.0,0.0,0.0004008819402685909,0.0,0.0,0.1740829825616356,0.0,0.0,0.0,0.5985167368210063,0.4014832631789938,0.0,1.0,0.0,0.0,0.0,0.9997327453731543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.681365671143182e-05,0.0,0.0,0.00020044097013429546,0.0,0.0,0.0,0.0,0.0,0.9762143382107302,0.023785661789269726
